,ProperCase,ProperCase_num,casernes_quartier,tmoyq,tmedq
0,Ealing,0,7,322.73713945881656,301.0
1,Southwark,1,10,289.6243751487741,277.0
2,Hounslow,2,9,332.01838911364473,319.0
3,Sutton,3,6,336.8840406455469,321.0
4,Tower Hamlets,4,9,276.00604838709677,257.0
5,Waltham Forest,5,8,294.24309392265195,272.0
6,Brent,6,9,344.6952566601689,328.5
7,Lambeth,7,8,274.88860565893447,259.0
8,Croydon,8,9,312.7343991748324,296.5
9,Hillingdon,9,8,370.0929944203348,349.0
10,Barking And dagenham,10,5,335.01112877583466,318.0
11,Merton,11,7,311.65564903846155,298.0
12,Westminster,12,8,311.2043450479233,289.0
13,Lewisham,13,10,284.2929665343165,269.0
14,Hammersmith And fulham,14,7,295.0777610818933,281.0
15,Kingston Upon thames,15,4,333.2683615819209,305.0
16,Newham,16,8,305.24030037546936,289.0
17,Havering,17,5,353.59416058394163,328.0
18,Hackney,18,6,291.4301391862955,281.0
19,Greenwich,19,7,319.3734261100066,304.0
20,Harrow,20,3,338.43516355140184,318.0
21,Barnet,21,9,340.67762557077623,321.0
22,Enfield,22,6,356.15371734762226,333.0
23,Haringey,23,8,321.7886925795053,308.5
24,Kensington And chelsea,24,6,268.025786163522,253.0
25,Redbridge,25,7,340.4876355748373,327.0
26,Camden,26,8,296.55194805194805,282.0
27,Bromley,27,11,354.42899118511264,339.0
28,City Of london,28,5,286.6454545454545,267.5
29,Bexley,29,5,344.8067070330694,327.0
30,Richmond Upon thames,30,7,330.6969696969697,314.0
31,Islington,31,9,276.8555341055341,263.0
32,Wandsworth,32,7,293.53121869782973,278.0
