,ProperCase,ProperCase_num,IncGeo_WardName,IncGeo_WardName_num
0,Ealing,0,GREENFORD BROADWAY,0
1,Ealing,0,NORWOOD GREEN,35
2,Ealing,0,SOUTHALL GREEN,60
3,Ealing,0,HOBBAYNE,91
4,Ealing,0,SOUTH ACTON,186
5,Ealing,0,SOUTHALL BROADWAY,201
6,Ealing,0,SOUTHFIELD,209
7,Ealing,0,ACTON CENTRAL,267
8,Ealing,0,EALING BROADWAY,284
9,Ealing,0,WALPOLE,290
10,Ealing,0,GREENFORD GREEN,305
11,Ealing,0,EALING COMMON,320
12,Ealing,0,NORTHFIELD,374
13,Ealing,0,CLEVELAND,423
14,Ealing,0,HANGER HILL,429
15,Ealing,0,NORTHOLT MANDEVILLE,492
16,Ealing,0,PERIVALE,494
17,Ealing,0,ELTHORNE,502
18,Ealing,0,DORMERS WELLS,515
19,Ealing,0,EAST ACTON,520
20,Ealing,0,LADY MARGARET,530
21,Ealing,0,NORTHOLT WEST END,542
22,Ealing,0,NORTH GREENFORD,577
23,Southwark,1,RYE LANE,1
24,Southwark,1,BOROUGH & BANKSIDE,15
25,Southwark,1,CHAUCER,73
26,Southwark,1,ST. GEORGE'S,85
27,Southwark,1,NORTH WALWORTH,86
28,Southwark,1,FARADAY,97
29,Southwark,1,GOOSE GREEN,119
30,Southwark,1,CAMBERWELL GREEN,121
31,Southwark,1,LONDON BRIDGE & WEST BERMONDSEY,134
32,Southwark,1,PECKHAM,136
33,Southwark,1,DULWICH VILLAGE,176
34,Southwark,1,SOUTH BERMONDSEY,216
35,Southwark,1,DULWICH HILL,218
36,Southwark,1,NEWINGTON,222
37,Southwark,1,CHAMPION HILL,268
38,Southwark,1,OLD KENT ROAD,313
39,Southwark,1,NUNHEAD & QUEEN'S ROAD,348
40,Southwark,1,ST. GILES,351
41,Southwark,1,SURREY DOCKS,367
42,Southwark,1,PECKHAM RYE,390
43,Southwark,1,NORTH BERMONDSEY,406
44,Southwark,1,DULWICH WOOD,426
45,Southwark,1,ROTHERHITHE,517
46,Islington,31,ST. GEORGE'S,85
47,Islington,31,ST. PETER'S,94
48,Islington,31,TOLLINGTON,108
49,Islington,31,HOLLOWAY,126
50,Islington,31,BUNHILL,138
51,Islington,31,FINSBURY PARK,142
52,Islington,31,HIGHBURY WEST,203
53,Islington,31,JUNCTION,255
54,Islington,31,CALEDONIAN,321
55,Islington,31,ST. MARY'S,324
56,Islington,31,CANONBURY,361
57,Islington,31,BARNSBURY,393
58,Islington,31,CLERKENWELL,516
59,Islington,31,HIGHBURY EAST,551
60,Islington,31,MILDMAY,580
61,Islington,31,HILLRISE,586
62,Hounslow,2,HESTON WEST,2
63,Hounslow,2,CHISWICK RIVERSIDE,14
64,Hounslow,2,TURNHAM GREEN,27
65,Hounslow,2,SYON,88
66,Hounslow,2,HOUNSLOW CENTRAL,139
67,Hounslow,2,BRENTFORD,183
68,Hounslow,2,HANWORTH,188
69,Hounslow,2,FELTHAM WEST,241
70,Hounslow,2,OSTERLEY AND SPRING GROVE,245
71,Hounslow,2,CHISWICK HOMEFIELDS,253
72,Hounslow,2,HOUNSLOW WEST,303
73,Hounslow,2,HOUNSLOW HEATH,328
74,Hounslow,2,HESTON CENTRAL,350
75,Hounslow,2,FELTHAM NORTH,373
76,Hounslow,2,BEDFONT,399
77,Hounslow,2,ISLEWORTH,421
78,Hounslow,2,HESTON EAST,458
79,Hounslow,2,HANWORTH PARK,490
80,Hounslow,2,CRANFORD,510
81,Hounslow,2,HOUNSLOW SOUTH,543
82,Sutton,3,BEDDINGTON SOUTH,3
83,Sutton,3,SUTTON CENTRAL,117
84,Sutton,3,WORCESTER PARK,129
85,Sutton,3,THE WRYTHE,182
86,Sutton,3,SUTTON WEST,230
87,Sutton,3,WALLINGTON SOUTH,403
88,Sutton,3,BELMONT,414
89,Sutton,3,ST. HELIER,141
90,Sutton,3,WANDLE VALLEY,476
91,Sutton,3,CHEAM,523
92,Sutton,3,BEDDINGTON NORTH,533
93,Sutton,3,WALLINGTON NORTH,555
94,Sutton,3,NONSUCH,562
